person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Niculiță Eftimie,niculițăeftimie,niculițăeftimie@zzup.ro,7140411406469,2008-03-21,"Aleea Cristea Nr. 518 Bl. 58  Sc. 91 Ap. 495, Baraolt, 195894",0744 324 971,10:dd:d3:56:c6:43,150.254.23.28,RO61ZOZM0701724383666044,2025-07-02 13:11:30,996,623,347,598026,3e04218f-e426-40b5-ae29-6375fc19555e
Codin Oprea,codinoprea,codinoprea@gmail.com,8720926025245,1983-07-04,"Drumul Dima, Rosiori de Vede, 360496",0761 745 283,b2:03:ad:2c:7a:af,167.184.25.70,RO67UOOU9199706239509887,2025-07-02 13:11:30,10724,717,204,1880988,703ba559-3a87-470f-97eb-d7f299a153ad
Tamara Toma,tamaratoma,tamaratoma@post.ro,6270721120941,1964-12-26,"Soseaua Damian Diaconescu Nr. 90, Toflea, 108397",0257 859 343,50:05:97:2c:ca:a9,99.187.9.44,RO43ZOLX2072345973083372,2025-07-02 13:11:30,31879,934,539,66696,f3b18ff1-cd88-4827-a057-684159a82d5c
Leordean Diaconescu,leordeandiaconescu,leordeandiaconescu@141.ro,5400910468819,1921-04-06,"Drumul Valeriu Diaconescu, Toplita, 528883",0269 164 250,26:84:28:c7:7c:28,72.107.27.190,RO44HIUJ4332628137954744,2025-07-02 13:11:30,3063,230,476,319793,c0d9c14b-6527-4b00-9be2-3b98e7132d32
Sonia Diaconu,soniadiaconu,soniadiaconu@acasa.ro,8230704393636,2002-07-14,"Strada Preda Nr. 25, Beclean, 602821",0256 179 449,68:cf:b5:8d:84:f7,41.237.65.69,RO28WBPT2794474389251997,2025-07-02 13:11:30,33455,509,396,615645,626ac920-e28b-4515-acbe-a89c0ccc89a5
Georgia Nistor,georgianistor,georgianistor@gmail.com,8560508052356,2009-01-17,"Aleea Dima, Sadova, 285184",0766 026 916,c8:46:2e:f9:ea:46,119.6.27.133,RO28EODY4007193363289841,2025-07-02 13:11:30,18604,340,512,1039386,b6abe2a9-6dd0-4e22-aff2-a37050970213
Relu Cristea,relucristea,relucristea@141.ro,5890610456568,2007-04-15,"Soseaua Diaconescu Nr. 350, Toflea, 272090",0725 200 050,d8:f7:af:f0:58:80,31.130.98.156,RO54PGEW4344997721766649,2025-07-02 13:11:30,1576,123,387,437589,6bad05da-deb5-4496-af8c-d1465d9f7d04
Basarab Tomescu,basarabtomescu,basarabtomescu@zzup.ro,4170431054973,1969-07-29,"Bulevardul Ionescu Nr. 479 Bl. 89  Sc. 87 Ap. 473, Otopeni, 909513",0236 533 099,62:95:44:c3:5b:bf,202.163.73.255,RO13UCFI7667872177772150,2025-07-02 13:11:30,33926,160,701,892971,b982bf61-9985-4a1c-ad26-60975fe5c4c6
Florența Nistor,florențanistor,florențanistor@141.ro,2400102085251,2008-04-20,"Aleea Pop Nr. 781, Sabaoani, 566175",021 934 9025,d6:c0:f0:69:e2:f9,85.230.132.30,RO17YLOH0998176680691389,2025-07-02 13:11:30,25735,436,549,1153703,ad4e964a-53a2-40c7-9693-d86cde62804f
Florina Diaconu,florinadiaconu,florinadiaconu@141.ro,7940626361183,1986-12-05,"Strada Florea, Gura Humorului, 840876",0265 173 443,30:07:64:28:ad:86,14.199.217.152,RO48QGDD4138030311723501,2025-07-02 13:11:30,9411,931,160,507329,0cc235b7-761d-4218-96cf-435a38247663
Safta Cristea,saftacristea,saftacristea@gmail.com,8790801028661,1962-03-14,"Strada Ababei, Tasnad, 747287",0755 065 248,68:02:dc:f0:9d:e2,138.235.124.82,RO10SZIV1639394784562582,2025-07-02 13:11:30,33718,843,428,1603208,f0919183-0d68-4109-a34e-fcc5d63e6419
Antim Stoica,antimstoica,antimstoica@gmail.com,8380115119318,1964-10-20,"Aleea Aanei Nr. 30, Urziceni, 146553",0723 432 628,ea:b8:95:8e:5d:94,36.195.171.253,RO28XCZH3008260006919337,2025-07-02 13:11:30,21053,110,425,621413,981fe5d2-f7af-418b-aaf2-ab20e0fcf45d
Dumitra Cristea,dumitracristea,dumitracristea@email.ro,5510831194443,1929-07-27,"Intrarea Dinu, Lipova, 185836",0256 568 655,b8:04:19:2f:32:7c,184.36.162.177,RO88XIDQ7333172063568719,2025-07-02 13:11:30,27836,325,662,1801770,ee0d88d6-0934-46e6-80d6-f80931171087
Dumitra Stancu,dumitrastancu,dumitrastancu@141.ro,2741021083771,1996-11-07,"Strada Luminița Popescu Nr. 82, Jilava, 657544",0250 424 630,ee:d8:9c:ee:dd:1f,57.188.141.57,RO05NHBK1945344074229934,2025-07-02 13:11:30,27238,343,174,1168476,64d12939-5d50-420f-9f28-997fe3957a7b
Sava Dobre,savadobre,savadobre@acasa.ro,1530306257012,1945-01-17,"Aleea Amelia Marin Nr. 45, Bragadiru, 902858",0772 214 937,b8:61:8b:1a:c8:4f,58.72.218.151,RO54HTUD1945469805032362,2025-07-02 13:11:30,17148,626,698,1914363,0a174f09-a0d9-43fd-a611-9f758c7397c2
Mihail Eftimie,mihaileftimie,mihaileftimie@zzup.ro,4610109249787,1969-10-13,"Bulevardul Petruța Ionescu Nr. 865, Siret, 901316",0766 739 934,ca:2b:5c:c8:be:cd,185.223.133.158,RO17NWMV9743064099309470,2025-07-02 13:11:30,17352,731,432,1809316,a627d6ba-a81f-411f-ace3-044db5da943d
Ilarie Popa,ilariepopa,ilariepopa@zzup.ro,7581004259151,1922-10-14,"Drumul Dima Nr. 42, Dragu-Brad, 745771",0732 861 670,b6:b4:26:7b:25:74,182.158.35.35,RO28ZHMO1481287408879851,2025-07-02 13:11:30,77,559,372,145579,30f805e9-86c3-4da5-8662-a1c8fa16edb5
Iuliu Albu,iuliualbu,iuliualbu@acasa.ro,2930827469265,1987-01-23,"Drumul Albu Nr. 46 Bl. 16  Sc. 84 Ap. 855, Pechea, 614718",0754 123 472,b0:fc:5f:b2:32:e8,61.188.83.148,RO16WRWJ6280013906344334,2025-07-02 13:11:30,27868,913,735,1917420,9745840a-2b87-447b-ae52-73012637ce89
Basarab Dumitrescu,basarabdumitrescu,basarabdumitrescu@email.ro,2850920415733,1936-08-10,"Bulevardul Marin, Odobesti, 730479",0736 251 482,ae:25:41:99:92:b9,2.41.148.148,RO34HVGJ6350549592856265,2025-07-02 13:11:30,13817,849,350,1116688,3439d4e2-84d3-4758-9c3d-9080131051d1
Liana Nemeș,liananemeș,liananemeș@email.ro,5051209111613,1911-09-14,"Drumul Dobre, Pancota, 323637",0725 556 476,c8:f0:a6:5e:a3:79,1.40.185.168,RO45LAPB1914240282041541,2025-07-02 13:11:30,1847,956,793,1905793,d54fb807-a37f-4d90-9beb-66d05f9c197e
Ștefania Florea,ștefaniaflorea,ștefaniaflorea@gmail.com,6450618229840,1919-12-24,"Intrarea Tabacu Nr. 118, Dragu-Brad, 335571",0245 800 671,e2:f7:1f:22:b5:eb,45.50.28.179,RO87KCBO5166422220263154,2025-07-02 13:11:30,4197,898,184,544773,fcf243df-fe4d-4e36-902b-6a9a7a2e886f
Lorena Diaconu,lorenadiaconu,lorenadiaconu@zzup.ro,3810314452772,1976-04-17,"Bulevardul Stănescu, Sangeorgiu de Mures, 145593",0786 656 395,0a:1c:b3:8f:ed:d0,31.105.102.89,RO79IMQB5841493267359680,2025-07-02 13:11:30,30359,335,65,353294,2c2a506b-b287-4f0e-b996-206ae833d1e5
Lorena Manole,lorenamanole,lorenamanole@acasa.ro,7001029345343,1926-06-15,"Soseaua Albu Nr. 221, Toplita, 244127",0233 008 764,be:2b:5a:1b:2e:26,171.60.223.13,RO03YSNO4797464381905352,2025-07-02 13:11:30,17345,465,341,1100167,da4771cc-e876-4ead-b09d-f8303bca7c14
Gheorghe Niță,gheorgheniță,gheorgheniță@email.ro,5610625194755,1992-09-13,"Drumul Nemeș, Draganesti-Olt, 816842",0766 569 474,c6:bb:33:0b:40:04,203.148.163.58,RO94INOF2671562554405628,2025-07-02 13:11:30,8345,660,443,1228694,28b6347c-232c-4bd0-bbb4-6522bbe3d194
Tiberiu Dima,tiberiudima,tiberiudima@zzup.ro,8990105433391,1982-12-09,"Bulevardul Ioniță Nr. 516 Bl. 84  Sc. 23 Ap. 507, Valea Mare (Negresti), 960987",0242 194 648,e2:18:a6:fe:c4:cd,17.98.110.251,RO05AHBE4852510335627818,2025-07-02 13:11:30,17763,490,682,1213932,0da7b55c-00e7-4b97-8fa4-26147ed7c1a2
Agnos Toma,agnostoma,agnostoma@email.ro,3451217303610,1961-03-04,"Drumul Alberta Dima, Toplita, 809237",0243 157 015,44:8f:af:0c:0d:90,88.185.94.225,RO66OLWB9490542076498698,2025-07-02 13:11:30,7659,397,303,1306976,86107f33-81f5-4539-adc7-8dada8556009
Aglaia Tabacu,aglaiatabacu,aglaiatabacu@kappa.ro,3581124370039,1967-01-15,"Aleea Alexandru Dinu, Paunesti, 721119",0743 792 787,7c:75:c1:87:45:61,116.104.178.105,RO05NTPD3692748034417688,2025-07-02 13:11:30,34518,789,614,1851692,04532847-d9c8-4dac-923f-d7a8ca46fd78
Jenel Stănescu,jenelstănescu,jenelstănescu@acasa.ro,6920312355428,2018-04-06,"Bulevardul Ene Nr. 93, Tarnaveni, 800317",0752 659 927,c8:ce:71:69:29:29,58.166.59.33,RO78HPLP8221930317935853,2025-07-02 13:11:30,19571,614,456,999630,d949b31d-fb64-42e8-9ff2-d239e99c7807
Beniamin Ionescu,beniaminionescu,beniaminionescu@post.ro,2791016310399,2014-01-17,"Drumul Diaconu Nr. 624, Beius, 928052",0742 219 755,b4:36:43:45:6a:17,205.115.8.176,RO88QRUJ1551533778908293,2025-07-02 13:11:30,21348,345,782,1364599,878d863c-8493-4586-ba85-67e669e49285
Olga Barbu,olgabarbu,olgabarbu@141.ro,6770726059471,2005-04-30,"Soseaua Popa, Motru, 344885",0757 500 746,14:ad:f5:40:79:88,53.197.79.169,RO60ZDTS3238632479482610,2025-07-02 13:11:30,19517,238,8,1471040,5d5790b3-8064-4a16-85bd-303a6641eec1
Heracleea Albu,heracleeaalbu,heracleeaalbu@141.ro,5810504125655,2022-09-20,"Drumul Pop, Corabia, 704065",0762 865 068,98:d3:a8:37:2b:d3,54.26.73.190,RO29XWYY0951793573940044,2025-07-02 13:11:30,904,649,299,1889596,8de37d41-73ed-4243-9959-7358112186fc
Salomea Cristea,salomeacristea,salomeacristea@post.ro,7880222138784,2010-04-18,"Aleea Leopoldina Albu, Slobozia, 614640",0255 822 945,fa:c0:c9:bb:0d:13,22.223.176.221,RO64LFHG3906795985222915,2025-07-02 13:11:30,30245,37,129,816318,f91dea3a-c0a6-4439-b886-331a0fde89c2
Marcheta Dumitrescu,marchetadumitrescu,marchetadumitrescu@acasa.ro,4501111514325,1941-12-19,"Drumul Stănescu Nr. 519 Bl. 34  Sc. 97 Ap. 350, Ludus, 393818",0711 818 509,96:65:8e:51:a7:ce,113.42.43.236,RO67ALPP2113310812848085,2025-07-02 13:11:30,10780,782,115,1888232,3993c68a-efec-427d-af08-b8c668735510
Stanca Nistor,stancanistor,stancanistor@141.ro,1260922273316,2009-01-09,"Soseaua Frusina Suciu Nr. 791, Apahida, 431739",0769 961 630,80:22:12:18:9d:0b,116.187.103.153,RO54QKYN4068257690727598,2025-07-02 13:11:30,1471,42,413,886551,b6c8f931-e1ae-4816-adc8-be4ff9c7ffbe
Bogdana Ionescu,bogdanaionescu,bogdanaionescu@acasa.ro,2760326189769,2003-04-16,"Strada Tabacu Nr. 355 Bl. 98  Sc. 21 Ap. 542, Giurgiu, 580552",0761 098 429,72:d6:72:7e:f2:05,198.200.86.163,RO27TOGT6376768879765379,2025-07-02 13:11:30,24199,640,634,1977676,ffca7744-f56a-4137-914e-870af522252d
Aurel Voinea,aurelvoinea,aurelvoinea@post.ro,4491231425962,2007-02-26,"Soseaua Filip Barbu, Cumpana, 575926",0254 863 798,e6:f2:d7:9f:ce:e2,45.235.45.129,RO98XLKT8939614560980236,2025-07-02 13:11:30,9024,425,696,935275,7546dd94-8307-4d88-8e4e-fc1f29590266
Mădălin Albu,mădălinalbu,mădălinalbu@141.ro,3850531018314,1971-07-09,"Bulevardul Albu Nr. 711, Falticeni, 201798",0240 624 889,c8:60:e5:99:f6:0b,86.205.115.166,RO84YJCJ7025457006935753,2025-07-02 13:11:30,29064,369,264,846106,2cf87123-4fdf-4e7e-9901-6cc7326fed7e
Tudor Ene,tudorene,tudorene@141.ro,1830803406338,2011-06-19,"Strada Frusina Dobre, Sangeorz-Bai, 326643",0786 841 684,ce:36:ba:68:2a:6d,118.206.42.53,RO23PMCZ2238240726811722,2025-07-02 13:11:30,14094,61,232,577681,a3cab913-11d5-4d61-9968-8949402378c5
Maricica Barbu,maricicabarbu,maricicabarbu@kappa.ro,1180730361240,1946-01-08,"Drumul Albu Nr. 72 Bl. 78  Sc. 91 Ap. 987, Craiova, 165764",0242 145 834,98:53:99:75:c5:a0,71.161.236.168,RO08ZUCS9151005559825313,2025-07-02 13:11:30,31057,348,192,226984,8c17ce40-44ae-4379-bbc9-60db6780d79e
Eugen Ioniță,eugenioniță,eugenioniță@email.ro,5160607431851,1999-03-18,"Intrarea George Pop Nr. 46, Targu Mures, 284146",0247 834 896,6e:6d:01:b7:ab:5a,97.122.82.43,RO20CNWV4237471568159296,2025-07-02 13:11:30,11924,100,15,421528,ba83e003-3977-40ac-9b61-b257ff738a4a
Tinca Dochioiu,tincadochioiu,tincadochioiu@141.ro,3710712049326,1952-07-19,"Soseaua Ababei Nr. 12, Targu Secuiesc, 104532",0747 416 313,e2:e0:09:37:84:d9,21.46.216.166,RO73NPWP6781911152919862,2025-07-02 13:11:30,3119,813,236,1864283,4887b1d9-99f7-48d9-bfce-8e49254ed50a
Haralambie Dochioiu,haralambiedochioiu,haralambiedochioiu@acasa.ro,2930804344030,1955-04-17,"Strada Codruț Stoica Nr. 34, Cluj-Napoca, 395797",0763 489 836,3a:b4:c2:b9:bc:03,71.26.159.12,RO25IRCV1172075168046476,2025-07-02 13:11:30,4482,140,407,185367,95e63b47-a3d1-40c8-8af4-9b4b9c86a461
Ica Suciu,icasuciu,icasuciu@post.ro,2020517011870,1968-01-30,"Intrarea Sorina Popa Nr. 979 Bl. 55  Sc. 16 Ap. 619, Filiasi, 865096",0758 869 295,e6:f5:6b:76:5b:64,45.80.151.125,RO41RZXP3437169078296138,2025-07-02 13:11:30,28871,409,638,1185167,540fe931-bc13-4832-82c7-2c5ba7564695
Eduard Ioniță,eduardioniță,eduardioniță@post.ro,8210525324282,2008-10-24,"Strada Dumitrescu Nr. 615, Timisoara, 830494",0248 656 723,c4:be:30:4e:4b:33,219.211.104.250,RO21TNVA1632901520543532,2025-07-02 13:11:30,26016,591,773,685758,c8a3dc02-456e-42f0-b3ac-fffdbb9cdc3b
Grațiana Popa,grațianapopa,grațianapopa@gmail.com,1380501322798,1955-11-16,"Drumul Constantin Niță Nr. 10 Bl. 39  Sc. 90 Ap. 374, Filiasi, 920937",0742 243 041,8e:ad:4a:db:f0:1e,92.74.76.137,RO24HRPC6644085399433238,2025-07-02 13:11:30,10780,854,234,591816,30a283a1-0896-4452-88ce-d79ecfc86a05
Ghiță Suciu,ghițăsuciu,ghițăsuciu@post.ro,7571011452202,1973-12-04,"Bulevardul Suciu Nr. 626, Valea Caselor (Dragasani), 581103",0752 606 165,1e:da:98:df:0e:dd,117.55.126.224,RO22HVXC6516788215381615,2025-07-02 13:11:30,26718,452,124,1091961,126c7121-24ef-4910-b515-626996ab3094
Adam Aanei,adamaanei,adamaanei@zzup.ro,6310830067350,2017-07-07,"Aleea Lia Stancu Nr. 15, Avrig, 919641",0762 644 353,5e:f8:12:89:95:d4,204.17.217.72,RO53SCMQ8551535587724609,2025-07-02 13:11:30,32844,546,298,1269802,67086578-bfb4-41b9-85bb-1353cccf0861
Luciana Stănescu,lucianastănescu,lucianastănescu@141.ro,3970116212639,1983-01-28,"Intrarea Vera Dobre Nr. 43, Valu lui Traian, 892339",0733 797 780,40:c9:b6:26:8d:aa,200.45.155.120,RO59QLNL7753363201931411,2025-07-02 13:11:30,7334,700,346,540241,1c7813a2-358a-48af-a37f-f0d5aa879aef
Lazăr Suciu,lazărsuciu,lazărsuciu@email.ro,6040124317660,1940-02-12,"Aleea Dima Nr. 208 Bl. 59  Sc. 62 Ap. 655, Lugoj, 403567",0263 278 726,c0:1a:4c:d6:47:37,222.244.28.192,RO40NLDN5543685038114659,2025-07-02 13:11:30,13457,908,616,1335469,8b80331a-dcaf-424f-b65c-377f8f987c80
Radu Nistor,radunistor,radunistor@gmail.com,8981104263255,1984-05-19,"Strada Haralambie Ioniță Nr. 217, Negresti, 732067",0771 694 539,1a:04:d9:1a:95:c9,103.175.212.130,RO59OGJJ4410996781214979,2025-07-02 13:11:30,17363,670,323,873590,a8e24e1d-4cf9-4383-a19d-563fd4e6a6a8
Eftimia Toma,eftimiatoma,eftimiatoma@141.ro,4140202251322,2003-06-06,"Bulevardul Mazilescu Nr. 825, Amara, 320408",0259 407 446,1c:11:c3:36:e6:35,153.158.93.157,RO38FFRS7819636950602378,2025-07-02 13:11:30,505,239,337,1582133,595bb5d2-be98-479a-99b2-466983fc1ffb
Anamaria Dochioiu,anamariadochioiu,anamariadochioiu@zzup.ro,1780307115724,1909-08-08,"Drumul Leana Diaconu, Constanta, 886357",0784 300 696,04:fb:d8:93:a7:32,11.18.97.69,RO88PDHH5888594482822976,2025-07-02 13:11:30,35897,447,540,650494,6484cc98-6dcd-45d2-ba88-0424a18c7014
Grațiana Tudor,grațianatudor,grațianatudor@post.ro,2220931464717,2009-07-28,"Drumul Albu Nr. 70 Bl. 88  Sc. 21 Ap. 110, Popesti-Leordeni, 284448",0239 854 767,40:0b:1b:99:85:fc,16.81.177.114,RO89BTAM6730478891252655,2025-07-02 13:11:30,1700,653,781,1102489,3e762f57-818f-4a01-9080-e4c948d59f4c
Marin Stan,marinstan,marinstan@acasa.ro,8600115130379,1978-08-21,"Drumul Eftimie, Adjud, 391625",0232 981 189,66:fc:60:56:06:37,194.201.11.130,RO37WMDP6738104874032614,2025-07-02 13:11:30,193,936,784,673847,673938ce-56f4-4dcb-a299-3a3b19527b1a
Bernard Voinea,bernardvoinea,bernardvoinea@zzup.ro,4610410452942,1926-10-12,"Aleea Tudor Nr. 19 Bl. 70  Sc. 23 Ap. 106, Zalau, 367648",0750 726 034,3e:dc:f2:8a:b6:65,106.238.22.63,RO83ZPDF2291122109599746,2025-07-02 13:11:30,30241,865,575,1449667,447bfdb1-f8e9-4da1-af32-26f11efd4253
Amanda Mazilescu,amandamazilescu,amandamazilescu@post.ro,1200504276734,1956-01-18,"Drumul Ioniță Nr. 923 Bl. 73  Sc. 94 Ap. 523, Buftea, 207060",0238 322 942,9a:b0:7b:7d:25:8d,138.147.150.49,RO41LVLC2077415526509245,2025-07-02 13:11:30,1663,551,417,243207,f765accf-1af6-49ea-bafc-49be654ea307
Gelu Popa,gelupopa,gelupopa@141.ro,3491001161762,1984-12-01,"Intrarea Dumitrescu Nr. 594, Jibou, 159237",0750 857 064,ae:d0:50:e0:b9:82,181.199.108.145,RO45KKKY8255441875707111,2025-07-02 13:11:30,18377,661,375,1559997,fe3b1a65-d69f-444d-9efd-052f13009bac
Corina Toma,corinatoma,corinatoma@post.ro,4751102016361,1988-05-10,"Bulevardul Toma Nr. 357 Bl. 71  Sc. 79 Ap. 213, Targu Jiu, 706351",0240 615 593,fc:fe:47:be:05:8e,94.120.187.244,RO07TJVB2915085576530540,2025-07-02 13:11:30,8316,250,343,152097,a2759d27-2756-413b-a714-0f00f7f0a81a
Leonard Dinu,leonarddinu,leonarddinu@post.ro,3231201241194,1990-12-06,"Strada Niță Nr. 129, Carei, 396615",0732 628 969,40:8e:56:db:16:75,167.175.169.30,RO25RJXC0151367725499706,2025-07-02 13:11:30,8239,163,528,30694,c9de23c5-2300-4f33-9930-30205417c1cf
Răzvan Suciu,răzvansuciu,răzvansuciu@acasa.ro,2600825512915,1966-03-10,"Soseaua Stan, Fundeni, 658154",0265 121 032,a6:82:cc:07:21:b8,149.134.110.221,RO49TCHA5693665181539139,2025-07-02 13:11:30,10039,714,440,1127939,6ee7ab50-c3b3-47d1-b7b9-32b68cff7e6a
Stancu Eftimie,stancueftimie,stancueftimie@kappa.ro,4681116412517,2011-03-11,"Soseaua Popescu Nr. 907 Bl. 63  Sc. 46 Ap. 172, Baile Borsa, 505328",0264 400 684,40:bb:d4:9b:dc:6d,39.27.237.177,RO06ZLNU5895797072858009,2025-07-02 13:11:30,21272,363,472,225079,4b65139c-873a-4b1c-a601-66744712ef5c
Ernest Diaconu,ernestdiaconu,ernestdiaconu@post.ro,2180218296161,1948-01-16,"Strada Dobre Nr. 78 Bl. 97  Sc. 77 Ap. 695, Vladimirescu, 468962",0747 806 752,1c:17:c3:98:f4:31,85.76.18.76,RO13LELW9066512966548739,2025-07-02 13:11:30,3481,688,614,85198,e2d577e5-5a6c-45cb-aeed-81d12c732b98
Henrieta Pușcașu,henrietapușcașu,henrietapușcașu@post.ro,4140230195632,2005-07-27,"Bulevardul Popescu Nr. 480 Bl. 16  Sc. 60 Ap. 101, Diosig, 923953",0234 305 251,c2:78:73:aa:c4:95,132.95.251.97,RO28UTIK7097607717024259,2025-07-02 13:11:30,22389,111,180,613115,3111668a-3bcd-4e10-9f7f-2a0583552992
Sebastian Cristea,sebastiancristea,sebastiancristea@email.ro,6211010306329,2006-10-22,"Bulevardul Dumitrescu Nr. 297, Dragu-Brad, 436440",0764 420 939,98:1a:cc:e8:91:69,162.203.69.44,RO87CRQN1336123583833770,2025-07-02 13:11:30,29638,24,600,1065767,c953443f-0b22-42ba-bff4-d505f41e5b8c
Raul Dumitrescu,rauldumitrescu,rauldumitrescu@zzup.ro,1930423510294,1922-08-26,"Soseaua Traian Marin, Bistrita, 493824",0737 269 776,0a:ff:eb:0a:87:ca,63.171.47.147,RO25NATW4083434131636645,2025-07-02 13:11:30,24628,919,448,610325,ce705231-81c4-4029-8f4d-2f6bbec247a2
Sabrina Stoica,sabrinastoica,sabrinastoica@post.ro,4620715062346,1979-06-27,"Strada Doru Voinea, Voluntari, 400887",0251 138 516,06:64:34:6c:d7:41,91.22.101.118,RO39LPCX5394743916179775,2025-07-02 13:11:30,11030,982,457,1562121,cd69805b-be2a-4c09-8d5a-1e1e840e93ca
Laura Marin,lauramarin,lauramarin@141.ro,7941002235712,1979-03-31,"Intrarea Suciu, Moreni, 932728",0256 035 813,18:b4:14:25:79:24,151.10.145.23,RO19LFPI3104401197662769,2025-07-02 13:11:30,23456,840,212,1876284,2157a98b-8018-4650-b9cb-2f738a48e150
Gianina Ardelean,gianinaardelean,gianinaardelean@acasa.ro,6360407352744,1997-06-18,"Aleea Dafina Dima Nr. 155, Petrosani, 315829",0731 391 813,ae:b7:26:19:a3:fc,132.86.226.187,RO74PTGZ7632939369038879,2025-07-02 13:11:30,11267,288,400,65941,6ef7cd4b-3c17-466d-ba89-03852a6badeb
Laurenția Stancu,laurențiastancu,laurențiastancu@141.ro,4430526283284,1917-09-06,"Intrarea Aanei, Poiana Mare, 445657",0742 278 701,6c:37:df:ea:4d:04,175.58.201.218,RO34DGEA3934141529134761,2025-07-02 13:11:30,17318,311,373,1447288,a7b07cb9-f77a-40ab-b9aa-1c8417f176fd
Henrieta Suciu,henrietasuciu,henrietasuciu@acasa.ro,1770110040387,2021-05-26,"Aleea Barbu, Fetesti-Gara, 693864",0237 929 877,ec:ad:13:65:39:cf,186.202.92.220,RO46JUML1607561190795908,2025-07-02 13:11:30,32842,615,659,1760086,34f9a9c8-0dcd-4d2f-bd44-832f3d79621e
Mara Dobre,maradobre,maradobre@post.ro,8650812403577,2009-11-20,"Soseaua Paul Marin Nr. 59, Balan, 831965",0234 856 039,3c:54:cb:5d:c6:37,161.108.137.72,RO43CRAY7026112486461744,2025-07-02 13:11:30,29978,703,332,618060,faa0e063-ec9a-4476-a861-f00fd2d5bd33
Eftimia Suciu,eftimiasuciu,eftimiasuciu@zzup.ro,8231023071718,1998-11-26,"Bulevardul Axinte Albu Nr. 19, Matca, 525836",0768 756 246,88:1c:15:00:f6:d5,37.149.121.245,RO46OMKG6767270973774570,2025-07-02 13:11:30,2648,31,190,1546702,d844fc65-e444-4584-812e-d5c1467cb378
Martin Diaconu,martindiaconu,martindiaconu@gmail.com,3611109224862,2003-06-30,"Aleea Oprea, Bosanci, 913731",0762 354 606,52:27:39:a9:ab:83,117.206.102.213,RO41CYBX6889618057900911,2025-07-02 13:11:30,33830,429,397,1126387,70c5612a-0b5d-4354-a2d3-0ceef44d45ff
Magdalena Aanei,magdalenaaanei,magdalenaaanei@zzup.ro,2490408258122,2024-09-30,"Aleea Tudor Nr. 187 Bl. 32  Sc. 37 Ap. 523, Nadlac, 790466",0733 843 009,34:4f:21:76:33:71,14.21.206.147,RO64RXQU0478521603791828,2025-07-02 13:11:30,32530,671,652,1037159,088531af-cdc5-45d0-9009-59bdd751106e
Gică Dumitrescu,gicădumitrescu,gicădumitrescu@post.ro,4790327259481,2024-04-10,"Intrarea Dumitrescu Nr. 799 Bl. 72  Sc. 68 Ap. 998, Ludus, 928490",0249 017 687,d6:1b:92:de:e7:90,22.254.180.209,RO61QAEA7914422583062213,2025-07-02 13:11:30,9738,133,254,1384922,1ae719c9-f9ad-443f-afbb-4dd86f4575bd
Nicușor Albu,nicușoralbu,nicușoralbu@zzup.ro,2770511381380,1930-04-01,"Aleea Gheorghiu Nr. 840, Drobeta-Turnu Severin, 938152",0766 671 522,6a:f5:f0:35:72:26,184.173.16.65,RO95CZCG1731802089792517,2025-07-02 13:11:30,26505,264,43,59877,36fd928a-bb17-45cd-9952-cda44f13bd70
Atena Popescu,atenapopescu,atenapopescu@gmail.com,8321112361881,1995-08-17,"Drumul Florea Nr. 92 Bl. 87  Sc. 26 Ap. 224, Dragasani, 700232",0231 474 139,1c:f6:2a:90:e5:4b,86.223.140.141,RO80MSHW0044321710337198,2025-07-02 13:11:30,12509,219,678,22063,f61347f4-b324-404e-a6b7-441ba51a439b
Zaraza Eftimie,zarazaeftimie,zarazaeftimie@gmail.com,3140320191658,1959-02-14,"Soseaua Diaconu Nr. 705, Targu Ocna, 249041",0751 475 241,c4:17:16:5d:7a:b6,222.246.44.93,RO30YZQX4746942805648199,2025-07-02 13:11:30,19360,893,622,1479980,b8616745-3826-45d3-8145-509fe393c2d7
Carolina Mocanu,carolinamocanu,carolinamocanu@zzup.ro,7051016363827,1954-05-12,"Bulevardul Daiana Pop Nr. 828 Bl. 42  Sc. 23 Ap. 381, Lupeni, 689155",0256 005 457,a4:97:a2:59:d0:d2,28.92.230.245,RO52KBBG8145005965696607,2025-07-02 13:11:30,109,374,366,389158,19d36c2d-fe50-4eb8-960f-ecfb2f73fd8c
Petronela Georgescu,petronelageorgescu,petronelageorgescu@kappa.ro,4280114025229,1939-09-03,"Strada Iosefina Stan Nr. 937, Covasna, 616999",0725 551 008,64:49:b3:cc:13:b4,10.240.97.8,RO89HSVZ1661199350547234,2025-07-02 13:11:30,18070,332,466,951026,faae714a-21a6-49f7-93bd-49ebd960eab7
Sonia Stan,soniastan,soniastan@acasa.ro,7671103520308,1990-12-31,"Drumul Suciu, Lupeni, 442644",0770 793 503,f6:b4:d0:34:82:8f,153.54.53.193,RO24CAYS7629650721904774,2025-07-02 13:11:30,22439,977,792,705414,484f6c01-48e5-446f-87b4-040e7434ae79
